Symbol,Time,Open,High,Low,Last,Change,Volume,Open Int
ESH20,1/2/2020 12:58,3241.75,3241.75,3241.25,3241.5,-0.25,536,N/A
ESH20,1/2/2020 12:57,3241.25,3242,3241.25,3241.75,0.5,2414,N/A
ESH20,1/2/2020 12:56,3240.75,3241.25,3240.75,3241.25,0.5,896,N/A
ESH20,1/2/2020 12:55,3240.5,3240.75,3240.5,3240.75,0.25,946,N/A
ESH20,1/2/2020 12:54,3240.5,3240.5,3240.25,3240.5,0,690,N/A
ESH20,1/2/2020 12:53,3240.75,3241.5,3240.25,3240.5,-0.5,1279,N/A
ESH20,1/2/2020 12:52,3241.25,3241.5,3240.75,3241,-0.5,1014,N/A
ESH20,1/2/2020 12:51,3241.5,3241.5,3241.25,3241.5,0,500,N/A
ESH20,1/2/2020 12:50,3241.75,3242,3241.5,3241.5,-0.25,1452,N/A
ESH20,1/2/2020 12:49,3242,3242,3241.5,3241.75,-0.5,764,N/A
ESH20,1/2/2020 12:48,3241.75,3242.25,3241.75,3242.25,0.25,2163,N/A
ESH20,1/2/2020 12:47,3241,3242,3240.75,3242,1,1458,N/A
ESH20,1/2/2020 12:46,3240.5,3241,3240.5,3241,0.5,1003,N/A
ESH20,1/2/2020 12:45,3240.5,3240.75,3240.5,3240.5,0,2902,N/A
ESH20,1/2/2020 12:44,3240.25,3240.5,3240,3240.5,0.25,1334,N/A
ESH20,1/2/2020 12:43,3240.25,3240.25,3239.75,3240.25,0.25,608,N/A
ESH20,1/2/2020 12:42,3240.5,3240.5,3239.75,3240,-0.5,1881,N/A
ESH20,1/2/2020 12:41,3241,3241,3240,3240.5,-0.25,1486,N/A
ESH20,1/2/2020 12:40,3240.75,3241,3240.5,3240.75,-0.25,577,N/A
ESH20,1/2/2020 12:39,3240.75,3241,3240.75,3241,0,805,N/A
ESH20,1/2/2020 12:38,3240.5,3241,3240.25,3241,0.5,425,N/A
ESH20,1/2/2020 12:37,3240.5,3240.75,3240.25,3240.5,0,1201,N/A
ESH20,1/2/2020 12:36,3240.25,3240.5,3240,3240.5,0,1085,N/A
ESH20,1/2/2020 12:35,3240.75,3240.75,3240,3240.5,0,2008,N/A
ESH20,1/2/2020 12:34,3241,3241,3240.25,3240.5,-0.5,586,N/A
ESH20,1/2/2020 12:33,3240.75,3241.25,3240.5,3241,0.25,1139,N/A
ESH20,1/2/2020 12:32,3240.75,3241,3240.5,3240.75,0,1735,N/A
ESH20,1/2/2020 12:31,3241.25,3241.25,3240.75,3240.75,-0.25,856,N/A
ESH20,1/2/2020 12:30,3241.25,3241.5,3241,3241,0,1488,N/A
ESH20,1/2/2020 12:29,3240.75,3241.25,3240.75,3241,0.25,485,N/A
ESH20,1/2/2020 12:28,3241,3241,3240.5,3240.75,0,467,N/A
ESH20,1/2/2020 12:27,3241,3241.5,3240.75,3240.75,-0.5,2343,N/A
ESH20,1/2/2020 12:26,3241.25,3241.5,3241,3241.25,-0.25,1285,N/A
ESH20,1/2/2020 12:25,3241.75,3241.75,3241.25,3241.5,-0.25,376,N/A
ESH20,1/2/2020 12:24,3241.5,3241.75,3241.25,3241.75,0.25,315,N/A
ESH20,1/2/2020 12:23,3241,3241.75,3241,3241.5,0.5,825,N/A
ESH20,1/2/2020 12:22,3241.75,3241.75,3241,3241,-0.75,1054,N/A
ESH20,1/2/2020 12:21,3241.25,3241.75,3241.25,3241.75,0.25,1232,N/A
ESH20,1/2/2020 12:20,3240.75,3241.5,3240.25,3241.5,0.75,1890,N/A
ESH20,1/2/2020 12:19,3240.75,3241,3240.5,3240.75,0,746,N/A
ESH20,1/2/2020 12:18,3240.75,3241,3240.5,3240.75,0,1216,N/A
ESH20,1/2/2020 12:17,3241,3241,3240.5,3240.75,-0.25,1324,N/A
ESH20,1/2/2020 12:16,3241,3241.25,3240.75,3241,-0.25,1569,N/A
ESH20,1/2/2020 12:15,3241,3241.25,3240.75,3241.25,0.25,1232,N/A
ESH20,1/2/2020 12:14,3241.25,3241.25,3240.75,3241,-0.25,330,N/A
ESH20,1/2/2020 12:13,3241.25,3241.5,3240.75,3241.25,0.25,1175,N/A
ESH20,1/2/2020 12:12,3241.25,3241.25,3241,3241,-0.25,1002,N/A
ESH20,1/2/2020 12:11,3241.75,3241.75,3241,3241.25,-0.5,1414,N/A
ESH20,1/2/2020 12:10,3241.5,3241.75,3241,3241.75,0.25,895,N/A
ESH20,1/2/2020 12:09,3241.5,3241.75,3241.25,3241.5,0,1160,N/A
ESH20,1/2/2020 12:08,3242,3242,3241.5,3241.5,-0.5,896,N/A
ESH20,1/2/2020 12:07,3241.75,3242,3241.5,3242,0.5,1434,N/A
ESH20,1/2/2020 12:06,3242,3242,3241.5,3241.5,-0.25,658,N/A
ESH20,1/2/2020 12:05,3242.5,3242.5,3241.75,3241.75,-0.5,795,N/A
ESH20,1/2/2020 12:04,3242.5,3242.5,3242,3242.25,0,717,N/A
ESH20,1/2/2020 12:03,3242.25,3242.75,3242,3242.25,0.25,2050,N/A
ESH20,1/2/2020 12:02,3242.5,3242.5,3241.75,3242,-0.25,1853,N/A
ESH20,1/2/2020 12:01,3243,3243,3242.25,3242.25,-0.5,1407,N/A
ESH20,1/2/2020 12:00,3244,3244,3242.75,3242.75,-1,1322,N/A
ESH20,1/2/2020 11:59,3243.75,3244,3243.5,3243.75,0.25,849,N/A
ESH20,1/2/2020 11:58,3244,3244,3243.5,3243.5,-0.25,357,N/A
ESH20,1/2/2020 11:57,3244,3244,3243.5,3243.75,-0.25,801,N/A
ESH20,1/2/2020 11:56,3243.75,3244,3243.5,3244,0.25,820,N/A
ESH20,1/2/2020 11:55,3244,3244,3243.5,3243.75,0,461,N/A
ESH20,1/2/2020 11:54,3244,3244,3243.75,3243.75,0,93,N/A
ESH20,1/2/2020 11:53,3244,3244,3243.5,3243.75,-0.25,347,N/A
ESH20,1/2/2020 11:52,3244,3244,3243.5,3244,0,512,N/A
ESH20,1/2/2020 11:51,3243.25,3244,3243,3244,0.75,1234,N/A
ESH20,1/2/2020 11:50,3243.75,3243.75,3243,3243.25,-0.5,1887,N/A
ESH20,1/2/2020 11:49,3243.5,3244,3243.25,3243.75,0.25,2592,N/A
ESH20,1/2/2020 11:48,3243.75,3243.75,3243.25,3243.5,0,557,N/A
ESH20,1/2/2020 11:47,3244,3244,3243.5,3243.5,-0.5,691,N/A
ESH20,1/2/2020 11:46,3244,3244,3243.5,3244,0,1283,N/A
ESH20,1/2/2020 11:45,3244,3244.25,3243.75,3244,0,1314,N/A
ESH20,1/2/2020 11:44,3243.75,3244,3243.25,3244,0.25,1620,N/A
ESH20,1/2/2020 11:43,3244,3244,3243.25,3243.75,0,1170,N/A
ESH20,1/2/2020 11:42,3244.25,3244.25,3243.75,3243.75,-0.5,1381,N/A
ESH20,1/2/2020 11:41,3244,3244.75,3243.75,3244.25,0.5,5624,N/A
ESH20,1/2/2020 11:40,3243.75,3243.75,3243.25,3243.75,0,1308,N/A
ESH20,1/2/2020 11:39,3243.25,3243.75,3243,3243.75,0.5,735,N/A
ESH20,1/2/2020 11:38,3242.5,3243.25,3242.25,3243.25,0.75,2147,N/A
ESH20,1/2/2020 11:37,3242.25,3242.5,3241.75,3242.5,0.25,1056,N/A
ESH20,1/2/2020 11:36,3242.25,3242.25,3242,3242.25,0.25,1781,N/A
ESH20,1/2/2020 11:35,3242,3242.25,3241.75,3242,0.25,306,N/A
ESH20,1/2/2020 11:34,3242,3242.25,3241.75,3241.75,0,1120,N/A
ESH20,1/2/2020 11:33,3242,3242,3241.5,3241.75,0,1007,N/A
ESH20,1/2/2020 11:32,3242.25,3242.25,3241.5,3241.75,-0.5,1528,N/A
ESH20,1/2/2020 11:31,3242.5,3242.75,3242,3242.25,-0.25,2182,N/A
ESH20,1/2/2020 11:30,3241.75,3242.75,3241.5,3242.5,0.75,1328,N/A
ESH20,1/2/2020 11:29,3242.25,3242.25,3241.5,3241.75,-0.5,1694,N/A
ESH20,1/2/2020 11:28,3242.5,3242.5,3242.25,3242.25,0,354,N/A
ESH20,1/2/2020 11:27,3242.5,3242.5,3242.25,3242.25,0,632,N/A
ESH20,1/2/2020 11:26,3242.75,3243.25,3242.25,3242.25,-0.25,1597,N/A
ESH20,1/2/2020 11:25,3242.5,3243,3242.5,3242.5,0,1676,N/A
ESH20,1/2/2020 11:24,3242.25,3242.5,3242,3242.5,0.5,1207,N/A
ESH20,1/2/2020 11:23,3242.5,3242.5,3241.75,3242,-0.25,1578,N/A
ESH20,1/2/2020 11:22,3242.75,3243,3242.25,3242.25,-0.5,3117,N/A
ESH20,1/2/2020 11:21,3242.5,3242.75,3242.25,3242.75,0.5,1986,N/A
ESH20,1/2/2020 11:20,3242.5,3242.5,3242,3242.25,-0.25,1567,N/A
ESH20,1/2/2020 11:19,3242.25,3242.5,3242,3242.5,0.5,983,N/A
ESH20,1/2/2020 11:18,3242.25,3242.5,3242,3242,0,1157,N/A
ESH20,1/2/2020 11:17,3242.25,3242.5,3241.75,3242,-0.25,2810,N/A
ESH20,1/2/2020 11:16,3241.25,3242.25,3241,3242.25,1.25,1326,N/A
