symbol,timestamp,tradingDay,open,high,low,close,volume
ESH20,2020-02-20T20:44:00-06:00,2/21/2020,3358.5,3358.75,3358.25,3358.5,222
ESH20,2020-02-20T20:45:00-06:00,2/21/2020,3358.5,3359,3358.5,3358.5,221
ESH20,2020-02-20T20:46:00-06:00,2/21/2020,3358.5,3358.5,3358.25,3358.5,149
ESH20,2020-02-20T20:47:00-06:00,2/21/2020,3358.5,3359.5,3358.5,3358.5,685
ESH20,2020-02-20T20:48:00-06:00,2/21/2020,3358.5,3359.5,3358.5,3359,556
ESH20,2020-02-20T20:49:00-06:00,2/21/2020,3359,3359.5,3359,3359.25,320
ESH20,2020-02-20T20:50:00-06:00,2/21/2020,3359.5,3359.5,3359,3359.25,802
ESH20,2020-02-20T20:51:00-06:00,2/21/2020,3359.5,3359.5,3358.25,3358.75,509
ESH20,2020-02-20T20:52:00-06:00,2/21/2020,3358.75,3359,3358.25,3358.25,223
ESH20,2020-02-20T20:53:00-06:00,2/21/2020,3358.25,3358.25,3357.5,3357.75,249
ESH20,2020-02-20T20:54:00-06:00,2/21/2020,3357.5,3357.75,3357.5,3357.75,236
ESH20,2020-02-20T20:55:00-06:00,2/21/2020,3357.75,3357.75,3357.25,3357.25,227
ESH20,2020-02-20T20:56:00-06:00,2/21/2020,3357.25,3357.75,3357.25,3357.5,96
ESH20,2020-02-20T20:57:00-06:00,2/21/2020,3357.75,3358.5,3357.75,3358,322
ESH20,2020-02-20T20:58:00-06:00,2/21/2020,3358,3358,3357.75,3357.75,198
ESH20,2020-02-20T20:59:00-06:00,2/21/2020,3357.75,3358.5,3357.5,3358.5,401
ESH20,2020-02-20T21:00:00-06:00,2/21/2020,3358.25,3358.5,3358,3358.5,77
ESH20,2020-02-20T21:01:00-06:00,2/21/2020,3358.25,3358.25,3357.25,3358,506
ESH20,2020-02-20T21:02:00-06:00,2/21/2020,3358.25,3358.75,3358.25,3358.75,163
ESH20,2020-02-20T21:03:00-06:00,2/21/2020,3358.75,3360,3358.5,3359.5,529
ESH20,2020-02-20T21:04:00-06:00,2/21/2020,3359.75,3359.75,3359,3359.25,136
ESH20,2020-02-20T21:05:00-06:00,2/21/2020,3359.5,3359.75,3359.25,3359.5,178
ESH20,2020-02-20T21:06:00-06:00,2/21/2020,3359.75,3360,3359.25,3359.5,161
ESH20,2020-02-20T21:07:00-06:00,2/21/2020,3359.75,3359.75,3359.5,3359.75,181
ESH20,2020-02-20T21:08:00-06:00,2/21/2020,3359.75,3359.75,3359.25,3359.5,436
ESH20,2020-02-20T21:09:00-06:00,2/21/2020,3359.5,3359.75,3359.25,3359.75,199
ESH20,2020-02-20T21:10:00-06:00,2/21/2020,3359.75,3359.75,3359.25,3359.25,243
ESH20,2020-02-20T21:11:00-06:00,2/21/2020,3359.25,3359.5,3358,3358.25,515
ESH20,2020-02-20T21:12:00-06:00,2/21/2020,3358.5,3359.5,3358.25,3359.25,209
ESH20,2020-02-20T21:13:00-06:00,2/21/2020,3359.5,3359.75,3358.75,3358.75,127
ESH20,2020-02-20T21:14:00-06:00,2/21/2020,3358.75,3359,3358.5,3358.75,104
ESH20,2020-02-20T21:15:00-06:00,2/21/2020,3358.75,3359.25,3358.5,3359.25,178
ESH20,2020-02-20T21:16:00-06:00,2/21/2020,3359.25,3359.5,3359,3359.25,70
ESH20,2020-02-20T21:17:00-06:00,2/21/2020,3359,3359,3358.5,3358.5,37
ESH20,2020-02-20T21:18:00-06:00,2/21/2020,3358.5,3358.5,3357.75,3358.25,230
ESH20,2020-02-20T21:19:00-06:00,2/21/2020,3358.25,3358.5,3358,3358.25,165
ESH20,2020-02-20T21:20:00-06:00,2/21/2020,3358.25,3359,3358.25,3358.75,120
ESH20,2020-02-20T21:21:00-06:00,2/21/2020,3358.75,3359,3358.5,3358.5,85
ESH20,2020-02-20T21:22:00-06:00,2/21/2020,3358.5,3358.5,3358.5,3358.5,60
ESH20,2020-02-20T21:23:00-06:00,2/21/2020,3358.5,3358.75,3358,3358.75,106
ESH20,2020-02-20T21:24:00-06:00,2/21/2020,3358.75,3358.75,3358.25,3358.5,220
ESH20,2020-02-20T21:25:00-06:00,2/21/2020,3358.5,3358.75,3358.5,3358.75,33
ESH20,2020-02-20T21:26:00-06:00,2/21/2020,3358.5,3358.75,3358.5,3358.75,61
ESH20,2020-02-20T21:27:00-06:00,2/21/2020,3359,3360.25,3359,3359.75,806
ESH20,2020-02-20T21:28:00-06:00,2/21/2020,3359.75,3360.75,3359.5,3360,637
ESH20,2020-02-20T21:29:00-06:00,2/21/2020,3360.25,3360.25,3359.75,3360,220
ESH20,2020-02-20T21:30:00-06:00,2/21/2020,3360,3360.25,3359.5,3360,178
ESH20,2020-02-20T21:31:00-06:00,2/21/2020,3360,3360.5,3360,3360.25,103
ESH20,2020-02-20T21:32:00-06:00,2/21/2020,3360,3360,3359.5,3359.5,112
ESH20,2020-02-20T21:33:00-06:00,2/21/2020,3359.75,3359.75,3359,3359,163
ESH20,2020-02-20T21:34:00-06:00,2/21/2020,3359.25,3359.25,3359,3359,27
ESH20,2020-02-20T21:35:00-06:00,2/21/2020,3359,3359.5,3359,3359,70
ESH20,2020-02-20T21:36:00-06:00,2/21/2020,3359,3359.25,3359,3359,76
ESH20,2020-02-20T21:37:00-06:00,2/21/2020,3359,3359,3358.25,3358.75,148
ESH20,2020-02-20T21:38:00-06:00,2/21/2020,3358.75,3359,3358.5,3358.5,128
ESH20,2020-02-20T21:39:00-06:00,2/21/2020,3358.75,3359,3358,3358.5,135
ESH20,2020-02-20T21:40:00-06:00,2/21/2020,3358.5,3359.25,3358.5,3359.25,174
ESH20,2020-02-20T21:41:00-06:00,2/21/2020,3359.25,3359.5,3359,3359,127
ESH20,2020-02-20T21:42:00-06:00,2/21/2020,3358.75,3359,3358.5,3358.5,161
ESH20,2020-02-20T21:43:00-06:00,2/21/2020,3358.75,3359,3358.75,3358.75,42
ESH20,2020-02-20T21:44:00-06:00,2/21/2020,3358.5,3359,3358.5,3358.75,71
